balcony,price,no_of_bedrooms,basement,street,size,elevator,district,floor,material,status
Yes,205000,2,Yes,Mýtna 44,70,Yes,stare_mesto,other,brick,refurbished
Yes,334017,4,Yes,Radlinského 45,111,Yes,stare_mesto,other,brick,refurbished
Yes,245000,3,No,Mickiewiczova,102,Yes,stare_mesto,other,brick,refurbished
No,4e+05,3,No,Živnostenská,127,No,stare_mesto,other,brick,refurbished
No,310000,2,No,Klobučnícka,98,No,stare_mesto,other,brick,refurbished
No,69000,1,Yes,Latorická,36,No,podunajske_biskupice,bottom,panel,refurbished
No,63600,1,Yes,Čiližská,43,Yes,vrakuna,other,panel,refurbished
No,289000,3,Yes,Cesta na Kamzík,175,Yes,nove_mesto,bottom,brick,refurbished
No,230000,4,No,Špitálska,100,No,stare_mesto,rest,brick,refurbished
No,91000,2,No,Poľnohospodárska,61,No,vrakuna,other,brick,refurbished
No,148000,4,Yes,Bošániho,74,Yes,dubravka,other,panel,refurbished
Yes,380750.4,3,No,Skalná,106,Yes,stare_mesto,other,brick,refurbished
Yes,260000,3,No,Mickiewiczova,101,Yes,stare_mesto,other,brick,refurbished
Yes,260000,3,No,Mickiewiczova,102,Yes,stare_mesto,other,brick,refurbished
Yes,165000,2,No,Tomášikova,76,Yes,ruzinov,other,brick,refurbished
No,275000,3,No,Mickiewiczova,107,Yes,stare_mesto,other,brick,refurbished
No,165000,2,No,Tomášikova,76,Yes,ruzinov,other,brick,refurbished
No,310000,4,No,Mickiewiczova,106,Yes,stare_mesto,other,brick,refurbished
Yes,255000,4,No,Vinohrady,108,Yes,nove_mesto,rest,brick,refurbished
Yes,360000,4,Yes,Paulínyho,137,Yes,stare_mesto,other,brick,old
No,155000,3,Yes,Legionárska,77,No,nove_mesto,top,brick,old
Yes,209900,3,No,Na Križovatkách,90,Yes,ruzinov,other,brick,refurbished
Yes,179000,2,Yes,Sedmokráskova 7,70,Yes,ruzinov,other,brick,refurbished
Yes,107990,2,No,Majerská,66,No,vrakuna,top,brick,refurbished
Yes,270000,3,Yes,Špitálska,110,Yes,stare_mesto,other,brick,refurbished
Yes,85000,2,Yes,Mesačná,46,Yes,ruzinov,top,panel,partial_refurbishment
Yes,118000,1,Yes,Kresánkova,57,Yes,karlova_ves,other,brick,refurbished
Yes,4e+05,3,Yes,Živnostenská,130,Yes,stare_mesto,other,brick,refurbished
No,350000,3,No,Nám. SNP,156,Yes,stare_mesto,top,brick,refurbished
No,71900,1,Yes,Bieloruská,34,Yes,podunajske_biskupice,bottom,panel,refurbished
Yes,134900,2,Yes,Kyjevská 3,56,Yes,nove_mesto,other,brick,refurbished
Yes,570000,4,Yes,Strážna,158,No,nove_mesto,top,brick,refurbished
Yes,159900,3,Yes,Nové mesto,79,Yes,nove_mesto,other,brick,refurbished
Yes,149000,3,Yes,Hubeného 52,80,No,raca,top,brick,refurbished
No,257500,2,No,Štúrova,92,Yes,stare_mesto,other,brick,refurbished
Yes,274807,3,Yes,Na pažiti,113,Yes,nove_mesto,other,brick,refurbished
No,324113,3,Yes,Na pažitit,172,Yes,nove_mesto,bottom,brick,refurbished
Yes,305364,3,Yes,Na pažiti,115,Yes,nove_mesto,other,brick,refurbished
Yes,310000,3,No,Podjavorinskej,160,No,stare_mesto,top,brick,refurbished
Yes,102000,4,Yes,Kríková,84,Yes,vrakuna,bottom,panel,refurbished
No,140724,2,No,Pod Krásnou hôrkou,54,Yes,nove_mesto,other,brick,being_constructed
Yes,240000,3,Yes,Klincová,87,Yes,ruzinov,rest,brick,refurbished
Yes,104000,3,No,Korytnická,72,Yes,podunajske_biskupice,other,panel,partial_refurbishment
Yes,99000,2,Yes,Planét,55,No,ruzinov,other,brick,partial_refurbishment
Yes,117500,2,No,Sibírska,60,Yes,nove_mesto,other,panel,partial_refurbishment
Yes,117500,2,Yes,Sibírska,57,Yes,nove_mesto,other,panel,partial_refurbishment
Yes,222000,3,Yes,Mraziarenská,87,Yes,ruzinov,other,brick,refurbished
Yes,117500,2,Yes,Sibírska,56,Yes,nove_mesto,other,panel,partial_refurbishment
Yes,389990,4,No,Špitálska,169,Yes,stare_mesto,top,brick,refurbished
Yes,207652,2,No,Podjavorinskej,60,Yes,stare_mesto,other,brick,refurbished
Yes,457899,4,No,Podjavorinskej,135,Yes,stare_mesto,other,brick,refurbished
Yes,452052,3,No,Podjavorinskej,133,Yes,stare_mesto,other,brick,refurbished
No,142000,2,No,Budatínska,77,Yes,petrzalka,other,panel,refurbished
Yes,122000,2,Yes,Sibírska,52,No,nove_mesto,bottom,brick,partial_refurbishment
Yes,117000,1,No,Lužná,36,Yes,petrzalka,other,panel,refurbished
Yes,345000,3,Yes,Cesta na kamzík,116,Yes,nove_mesto,bottom,brick,refurbished
Yes,145000,3,Yes,Kazanská,75,Yes,podunajske_biskupice,other,brick,refurbished
Yes,120000,2,Yes,Sibírska,56,Yes,nove_mesto,bottom,panel,partial_refurbishment
Yes,129000,2,Yes,Rusovská cesta,53,Yes,petrzalka,other,other,refurbished
Yes,189100,3,Yes,Rusovská cesta,83,Yes,petrzalka,other,other,refurbished
Yes,195000,4,Yes,Rusovská cesta,86,Yes,petrzalka,other,other,refurbished
Yes,311100,4,Yes,Rusovská cesta,106,Yes,petrzalka,top,other,refurbished
No,207652,2,No,Podjavorinskej,60,Yes,stare_mesto,other,brick,refurbished
Yes,457899,4,No,Podjavorinskej,135,Yes,stare_mesto,other,brick,refurbished
Yes,119900,2,Yes,Pri Vápenickom potoku,75,Yes,zahorska_bistrica,other,brick,refurbished
Yes,305000,4,No,Trnavská cesta,176,Yes,nove_mesto,other,brick,refurbished
No,215711,2,No,Na pažiti,87,Yes,nove_mesto,other,brick,refurbished
No,299000,3,No,Na pažiti,113,Yes,nove_mesto,bottom,brick,refurbished
Yes,229500,3,No,Na pažiti,93,Yes,nove_mesto,other,brick,refurbished
No,196999,4,Yes,Podhorského,110,No,stare_mesto,top,brick,refurbished
Yes,101000,1,No,Pečnianska,55,Yes,petrzalka,other,panel,refurbished
Yes,36900,1.5,No,Stavbárska,40,Yes,vrakuna,other,brick,partial_refurbishment
Yes,132000,3,No,Budatínska,70,Yes,petrzalka,bottom,panel,refurbished
Yes,124999,3,No,Holíčska,68,Yes,petrzalka,other,panel,refurbished
Yes,165000,3,Yes,Karadžičova,101,Yes,stare_mesto,bottom,brick,refurbished
Yes,105000,1.5,Yes,Pečnianska,53,Yes,petrzalka,other,panel,refurbished
No,148000,2,No,Floglova,51,Yes,stare_mesto,bottom,brick,old
Yes,250000,4,No,Dunajská,132,No,stare_mesto,other,brick,refurbished
No,385000,3,No,Žltá,100,Yes,petrzalka,top,other,refurbished
No,385000,4,No,Žltá,100,Yes,petrzalka,top,other,refurbished
Yes,75384.23,1,No,Uzbecká,39,Yes,podunajske_biskupice,rest,base,refurbished
Yes,104139.36,2,No,Uzbecká,56,Yes,podunajske_biskupice,rest,base,refurbished
Yes,229278.35,4,No,Uzbecká,134,Yes,podunajske_biskupice,rest,base,refurbished
Yes,251160,3,Yes,Landererova,92,Yes,stare_mesto,other,other,refurbished
No,74900,1,Yes,Hanulova,38,Yes,dubravka,other,panel,refurbished
No,97000,2,Yes,Medveďovej,53,Yes,petrzalka,top,panel,partial_refurbishment
Yes,470000,4,No,Svetlá,202,Yes,stare_mesto,top,brick,refurbished
Yes,250000,2,Yes,Staré Grunty,122,Yes,karlova_ves,top,brick,refurbished
Yes,86000,1,No,Žltá,33,Yes,petrzalka,other,brick,refurbished
Yes,73300,2,Yes,Odborárska 3,34,Yes,nove_mesto,other,brick,refurbished
Yes,126600,3,Yes,Odborárska 3,64,Yes,nove_mesto,other,brick,refurbished
Yes,116000,3,No,Gessayova,71,Yes,petrzalka,other,panel,partial_refurbishment
Yes,275000,3,No,Mickiewiczova,102,Yes,stare_mesto,other,brick,refurbished
Yes,263000,3,No,Ľanová,100,No,ruzinov,top,brick,refurbished
Yes,255000,4,Yes,Matejkova,122,Yes,karlova_ves,other,brick,refurbished
Yes,117500,2,Yes,Sibírska,56,No,nove_mesto,bottom,panel,partial_refurbishment
Yes,360000,4,Yes,Tupého 25,144,Yes,nove_mesto,bottom,brick,refurbished
Yes,257000,4,Yes,Klincová,111,Yes,ruzinov,top,base,refurbished
No,68000,1,Yes,Homolova,38,Yes,dubravka,other,panel,old
Yes,129000,3,Yes,Jána Poničana,74,Yes,devinska_nova_ves,other,panel,partial_refurbishment
No,309900,4,Yes,Pri Vápenickom potoku,137,Yes,zahorska_bistrica,top,brick,refurbished
No,95000,1,Yes,Píniová,40,No,vrakuna,bottom,brick,refurbished
Yes,132000,2,No,Kadnárova,58,No,raca,other,brick,refurbished
Yes,125000,3,No,Vyšehradská,74,Yes,petrzalka,other,panel,partial_refurbishment
Yes,122000,3,Yes,Vyšehradská,74,Yes,petrzalka,other,panel,partial_refurbishment
No,99800,2,No,Tomanova,47,No,vajnory,top,brick,refurbished
Yes,133700,2,Yes,Kadnárova,60,No,raca,other,brick,refurbished
Yes,125000,3,Yes,Haburská,64,Yes,ruzinov,bottom,panel,partial_refurbishment
No,349000,3,No,Dunajská,157,Yes,stare_mesto,top,brick,refurbished
No,173000,3,Yes,Ulica 29. augusta,70,No,stare_mesto,bottom,brick,refurbished
