balcony,no_of_bedrooms,basement,street,size,elevator,district,floor,material,status,price
Yes,4,Yes,other,2.71426933969425,Yes,stare_mesto,other,brick,refurbished,5.523768571058
Yes,3,No,other,2.68917513820238,Yes,stare_mesto,other,brick,refurbished,5.38916608436453
No,3,No,other,2.75310885838021,No,stare_mesto,other,brick,refurbished,5.60205999132796
No,2,No,other,2.67710886312593,No,stare_mesto,other,brick,refurbished,5.49136169383427
No,1,Yes,other,2.33023317850707,No,podunajske_biskupice,bottom,panel,refurbished,4.83884909073726
No,1,Yes,other,2.3985544514435,Yes,vrakuna,other,panel,refurbished,4.80345711564841
No,3,Yes,other,2.84028145037214,Yes,nove_mesto,bottom,brick,refurbished,5.46089784275655
No,4,No,other,2.68321803960761,No,stare_mesto,rest,brick,refurbished,5.36172783601759
No,2,No,other,2.52412349687282,No,vrakuna,other,brick,refurbished,4.95904139232109
No,4,Yes,other,2.58875139904474,Yes,dubravka,other,panel,refurbished,5.17026171539496
Yes,3,No,other,2.70065932218732,Yes,stare_mesto,other,brick,refurbished,5.58064036825943
Yes,3,No,other,2.68621517242566,Yes,stare_mesto,other,brick,refurbished,5.41497334797082
Yes,3,No,other,2.68917513820238,Yes,stare_mesto,other,brick,refurbished,5.41497334797082
Yes,2,No,other,2.59742013477924,Yes,ruzinov,other,brick,refurbished,5.21748394421391
No,3,No,other,2.70344523162321,Yes,stare_mesto,other,brick,refurbished,5.43933269383026
No,2,No,other,2.59742013477924,Yes,ruzinov,other,brick,refurbished,5.21748394421391
Yes,4,No,other,2.70619851933021,Yes,nove_mesto,rest,brick,refurbished,5.40654018043396
Yes,4,Yes,other,2.77437894712242,Yes,stare_mesto,other,brick,old,5.55630250076729
No,3,Yes,other,2.60164739763241,No,nove_mesto,top,brick,old,5.19033169817029
Yes,3,No,other,2.65100162379407,Yes,ruzinov,other,brick,refurbished,5.3220124385824
Yes,2,No,other,2.55087091129225,No,vrakuna,top,brick,refurbished,5.03338354117312
Yes,3,Yes,other,2.7116099244797,Yes,stare_mesto,other,brick,refurbished,5.43136376415899
Yes,2,Yes,other,2.42367058973074,Yes,ruzinov,top,panel,partial_refurbishment,4.92941892571429
Yes,1,Yes,other,2.50065315185266,Yes,karlova_ves,other,brick,refurbished,5.07188200730613
No,3,No,other,2.80986440698484,Yes,stare_mesto,top,brick,refurbished,5.54406804435028
Yes,2,Yes,other,2.49445964791184,Yes,nove_mesto,other,brick,refurbished,5.1300119496719
Yes,3,Yes,other,2.60989800921489,Yes,nove_mesto,other,brick,refurbished,5.20384846374624
No,3,Yes,other,2.83576307871064,Yes,nove_mesto,bottom,brick,refurbished,5.51069645070218
Yes,3,Yes,other,2.72461269359245,Yes,nove_mesto,other,brick,refurbished,5.48481783585429
Yes,3,No,other,2.81664330808764,No,stare_mesto,top,brick,refurbished,5.49136169383427
No,2,No,Pod Krásnou hôrkou,2.48164384502275,Yes,nove_mesto,other,brick,being_constructed,5.14836817119953
Yes,3,No,other,2.57978224404418,Yes,podunajske_biskupice,other,panel,partial_refurbishment,5.01703333929878
Yes,2,No,other,2.51844157614637,Yes,nove_mesto,other,panel,partial_refurbishment,5.07003786660776
Yes,3,Yes,other,2.64044614796885,Yes,ruzinov,other,brick,refurbished,5.34635297445064
Yes,4,No,other,2.83114427745529,Yes,stare_mesto,top,brick,refurbished,5.59105347112778
Yes,2,No,other,2.51844157614637,Yes,stare_mesto,other,brick,refurbished,5.31733611837285
Yes,4,No,other,2.77028469248295,Yes,stare_mesto,other,brick,refurbished,5.66076969507835
Yes,2,Yes,other,2.46821542137881,No,nove_mesto,bottom,brick,partial_refurbishment,5.08635983067475
Yes,1,No,other,2.33023317850707,Yes,petrzalka,other,panel,refurbished,5.06818586174616
Yes,3,Yes,other,2.5931221847288,Yes,podunajske_biskupice,other,brick,refurbished,5.16136800223498
Yes,2,Yes,other,2.49445964791184,Yes,nove_mesto,bottom,panel,partial_refurbishment,5.07918124604763
Yes,3,Yes,other,2.62563607643843,Yes,petrzalka,other,other,refurbished,5.27669152884504
Yes,4,Yes,other,2.70065932218732,Yes,petrzalka,top,other,refurbished,5.4929000111087
No,2,No,other,2.51844157614637,Yes,stare_mesto,other,brick,refurbished,5.31733611837285
Yes,2,Yes,other,2.5931221847288,Yes,zahorska_bistrica,other,brick,refurbished,5.07881918309885
Yes,4,No,other,2.84176592819074,Yes,nove_mesto,other,brick,refurbished,5.48429983934679
No,2,No,other,2.64044614796885,Yes,nove_mesto,other,brick,refurbished,5.33387229214702
No,3,No,other,2.71949869867423,Yes,nove_mesto,bottom,brick,refurbished,5.47567118832443
Yes,1,No,other,2.48812516602843,Yes,petrzalka,other,panel,refurbished,5.00432137378264
Yes,1.5,No,other,2.37112673569579,Yes,vrakuna,other,brick,partial_refurbishment,4.56702636615906
